Date,Open,High,Low,Close,Adj Close,Volume
2015-08-13,3.4,3.56,2.02,2.5,2.5,824041500
2015-08-14,2.38,2.42,2.2,2.26,2.26,220638500
2015-08-17,2.2,2.2,2.02,2.02,2.02,81074800
2015-08-18,1.92,2.1,1.89,1.92,1.92,95505900
2015-08-19,1.96,2.18,1.96,2.04,2.04,154466900
2015-08-20,2.12,2.14,2,2.04,2.04,51548900
2015-08-21,2.02,2.08,1.99,2,2,29589100
2015-08-24,1.96,1.98,1.68,1.68,1.68,27442500
2015-08-25,1.76,2.02,1.65,1.99,1.99,159358100
2015-08-26,1.95,2.06,1.85,1.85,1.85,81244200
2015-08-27,1.9,1.98,1.87,1.89,1.89,36107000
2015-08-28,1.92,2,1.86,1.86,1.86,46620600
2015-08-31,1.87,1.92,1.83,1.86,1.86,15806500
2015-09-01,1.88,2.04,1.85,1.89,1.89,107156000
2015-09-02,1.91,1.95,1.88,1.93,1.93,23091500
2015-09-03,1.95,2.02,1.91,1.93,1.93,52436900
2015-09-04,1.95,1.95,1.89,1.89,1.89,15070700
2015-09-07,1.9,1.96,1.89,1.93,1.93,19113000
2015-09-08,1.94,1.96,1.91,1.94,1.94,15194000
2015-09-09,1.97,2.1,1.94,2.1,2.1,81367900
2015-09-10,2.04,2.16,2.02,2.08,2.08,69536900
2015-09-11,2.12,2.26,2.08,2.1,2.1,102115400
2015-09-14,2.1,2.18,2.02,2.02,2.02,44224800
2015-09-15,2.04,2.1,1.94,1.95,1.95,30889700
2015-09-16,1.97,1.99,1.94,1.97,1.97,11661900
2015-09-17,1.98,2.02,1.95,1.96,1.96,21059400
2015-09-18,1.97,2.02,1.95,1.95,1.95,19007900
2015-09-21,1.96,2.02,1.95,2,2,40856400
2015-09-22,2.02,2.04,1.94,1.94,1.94,15907200
2015-09-23,1.95,1.99,1.94,1.96,1.96,13577800
2015-09-24,1.96,1.97,1.86,1.86,1.86,12850900
2015-09-25,1.89,1.93,1.84,1.86,1.86,14783200
2015-09-28,1.86,1.86,1.76,1.76,1.76,9287100
2015-09-29,1.74,1.82,1.72,1.8,1.8,14685900
2015-09-30,1.82,1.85,1.78,1.78,1.78,11647200
2015-10-01,1.79,1.83,1.77,1.79,1.79,8050500
2015-10-02,1.8,1.81,1.78,1.78,1.78,3599100
2015-10-05,1.8,1.88,1.79,1.88,1.88,22281600
2015-10-06,1.92,1.93,1.86,1.87,1.87,23365900
2015-10-07,1.9,1.91,1.86,1.87,1.87,15109900
2015-10-08,1.88,1.89,1.86,1.86,1.86,6212300
2015-10-09,1.87,1.88,1.85,1.86,1.86,4167100
2015-10-12,1.86,1.87,1.84,1.84,1.84,3354400
2015-10-13,1.84,1.84,1.81,1.82,1.82,3264300
2015-10-14,1.83,1.86,1.82,1.82,1.82,5380400
2015-10-15,1.84,1.85,1.81,1.82,1.82,4960000
2015-10-16,1.83,1.86,1.82,1.83,1.83,5348300
2015-10-19,1.83,1.86,1.83,1.84,1.84,3537100
2015-10-20,1.85,1.95,1.84,1.93,1.93,49484900
2015-10-21,1.96,2,1.92,1.92,1.92,40261500
2015-10-22,1.91,1.96,1.9,1.92,1.92,9595700
2015-10-26,1.94,2.06,1.92,2.06,2.06,46320000
2015-10-27,2.1,2.14,2,2,2,60811900
2015-10-28,2,2,1.91,1.91,1.91,15180200
2015-10-29,1.92,1.96,1.84,1.84,1.84,21584100
2015-10-30,1.86,1.89,1.81,1.84,1.84,11696100
2015-11-02,1.86,1.89,1.85,1.88,1.88,9386700
2015-11-03,1.89,1.95,1.88,1.94,1.94,21764200
2015-11-04,1.97,2.04,1.96,2.04,2.04,45131900
2015-11-05,2.02,2.04,1.93,1.93,1.93,18852900
2015-11-06,1.94,1.97,1.92,1.93,1.93,8754900
2015-11-09,1.95,1.95,1.92,1.93,1.93,3615700
2015-11-10,1.92,1.97,1.9,1.96,1.96,9313500
2015-11-11,1.96,2.06,1.94,1.97,1.97,43727000
2015-11-12,1.97,1.97,1.89,1.9,1.9,13156900
2015-11-13,1.9,1.93,1.9,1.9,1.9,3408300
2015-11-16,1.88,1.9,1.86,1.9,1.9,2938800
2015-11-17,1.92,1.94,1.91,1.91,1.91,2823200
2015-11-18,1.92,1.98,1.89,1.91,1.91,14502500
2015-11-19,1.93,2,1.93,1.98,1.98,18100500
2015-11-20,2.04,2.1,1.99,1.99,1.99,30439100
2015-11-23,2,2.02,1.93,1.96,1.96,9804600
2015-11-24,1.96,2.06,1.95,1.97,1.97,20762000
2015-11-25,1.98,2.1,1.97,2.1,2.1,28502300
2015-11-26,2.16,2.18,2.02,2.06,2.06,52558800
2015-11-27,2.04,2.16,2.04,2.16,2.16,41007600
2015-11-30,2.16,2.24,2.06,2.06,2.06,64471300
2015-12-01,2.1,2.12,2.02,2.06,2.06,17753000
