Date,Open,High,Low,Close,Adj Close,Volume
2017-11-10,7.5,8.15,7.2,8.05,8.05,437564700
2017-11-13,8.1,8.65,7.9,8.4,8.4,204840700
2017-11-14,8.4,8.45,8,8,8,65399900
2017-11-15,7.9,8.05,7,7,7,104121500
2017-11-16,7.15,7.25,6.9,6.9,6.9,24077500
2017-11-17,6.95,7.05,6.55,6.85,6.85,23185800
2017-11-20,6.9,7.2,6.9,7.1,7.1,12702000
2017-11-21,7.1,7.1,6.8,6.8,6.8,7026200
2017-11-22,6.8,6.85,6.45,6.5,6.5,9003900
2017-11-23,6.5,6.65,6.15,6.15,6.15,11892800
2017-11-24,6.2,6.25,6,6.05,6.05,9391800
2017-11-27,6.05,6.25,6,6.05,6.05,8963500
2017-11-28,6.1,6.4,6.1,6.25,6.25,15383200
2017-11-29,6.35,6.55,6.25,6.5,6.5,13905600
2017-11-30,6.45,6.45,6.1,6.15,6.15,7883000
2017-12-01,6.25,6.35,6.15,6.2,6.2,4816300
2017-12-04,6.2,6.25,5.75,5.8,5.8,9266200
2017-12-06,5.85,5.85,5.75,5.8,5.8,3260200
2017-12-07,5.75,5.8,5.55,5.65,5.65,2876600
2017-12-08,5.7,6.1,5.7,5.9,5.9,14168600
2017-12-12,5.9,5.9,5.7,5.7,5.7,1547700
2017-12-13,5.7,5.85,5.65,5.75,5.75,1119700
2017-12-14,5.7,5.75,5.6,5.6,5.6,1571300
2017-12-15,5.6,5.6,5.25,5.3,5.3,3320600
2017-12-18,5.3,5.5,5.25,5.3,5.3,5844300
2017-12-19,5.3,5.35,4.94,4.98,4.98,9828800
2017-12-20,5,5.05,4.78,4.82,4.82,11682500
2017-12-21,4.78,5,4.72,4.9,4.9,28089100
2017-12-22,4.94,5.15,4.94,5.1,5.1,14573800
2017-12-25,5.05,5.1,4.88,4.98,4.98,9063700
2017-12-26,4.98,5.15,4.96,5.1,5.1,17030300
2017-12-27,5.15,5.2,5,5.05,5.05,5880800
2017-12-28,5.05,5.05,4.92,4.96,4.96,2385500
2017-12-29,4.96,5,4.96,4.98,4.98,1188400
2018-01-03,4.98,4.98,4.8,4.8,4.8,4185500
2018-01-04,4.8,4.84,4.78,4.82,4.82,3552800
2018-01-05,4.84,5.25,4.82,5.1,5.1,24473700
2018-01-08,5.1,5.2,5.05,5.05,5.05,7113300
2018-01-09,5.1,5.3,5.05,5.3,5.3,7693100
2018-01-10,5.45,5.5,5.35,5.4,5.4,9758500
2018-01-11,5.35,5.4,5.25,5.35,5.35,3054500
2018-01-12,5.4,5.45,5.3,5.35,5.35,3097800
2018-01-15,5.35,5.4,5.1,5.15,5.15,4291000
2018-01-16,5.15,5.6,5.05,5.6,5.6,17417100
2018-01-17,5.55,5.6,5.4,5.45,5.45,13002900
2018-01-18,5.4,5.9,5.35,5.85,5.85,26602400
2018-01-19,5.8,6.1,5.75,5.95,5.95,22043000
2018-01-22,5.95,6.2,5.9,6.2,6.2,12707500
2018-01-23,6.2,6.85,6.1,6.4,6.4,45328400
2018-01-24,6.4,6.7,6.35,6.65,6.65,18942600
2018-01-25,6.7,6.8,6.35,6.35,6.35,13694400
2018-01-26,6.4,6.75,6.35,6.75,6.75,14714400
2018-01-29,6.8,7.2,6.8,7.15,7.15,26257300
2018-01-30,7.2,7.35,7.05,7.05,7.05,21269800
2018-01-31,7.05,7.35,6.9,7.35,7.35,22363600
2018-02-01,7.4,7.6,7.3,7.6,7.6,19361900
2018-02-02,7.65,7.7,7.45,7.55,7.55,11760500
2018-02-05,7.3,7.45,7.25,7.4,7.4,12505300
2018-02-06,7.25,7.4,7.1,7.2,7.2,10927100
2018-02-07,7.4,7.4,7.25,7.3,7.3,4883000
2018-02-08,7.35,7.35,7.2,7.25,7.25,2755900
2018-02-09,7.1,7.6,7.1,7.55,7.55,10265900
2018-02-12,7.65,7.95,7.6,7.9,7.9,17029900
2018-02-13,7.85,7.9,7.65,7.65,7.65,5449000
2018-02-14,7.75,7.85,7.7,7.75,7.75,5772900
2018-02-15,7.8,7.8,7.4,7.45,7.45,6735300
2018-02-16,7.5,7.55,7.4,7.45,7.45,1776700
2018-02-19,7.45,7.45,7.05,7.1,7.1,10211000
2018-02-20,7.2,7.2,7,7,7,4648400
2018-02-21,7.05,7.2,6.8,7.1,7.1,7121700
2018-02-22,7.05,7.1,6.85,6.95,6.95,2438900
2018-02-23,6.85,7.45,6.85,7.45,7.45,5067900
2018-02-26,7.45,7.7,7.4,7.5,7.5,5403300
2018-02-27,7.55,7.55,7.25,7.25,7.25,1810300
2018-02-28,7.25,7.45,7.25,7.4,7.4,2722100
2018-03-02,7.35,7.5,7.3,7.35,7.35,2055100
2018-03-05,7.3,7.45,7.25,7.3,7.3,1139000
2018-03-06,7.4,7.65,7.4,7.6,7.6,7108000
2018-03-07,7.6,7.7,7.35,7.35,7.35,5419900
2018-03-08,7.4,7.6,7.3,7.5,7.5,3338500
2018-03-09,7.45,7.6,7.4,7.55,7.55,2134300
2018-03-12,7.6,8.2,7.6,8.1,8.1,33444800
2018-03-13,8.05,8.2,7.85,8.15,8.15,20162300
2018-03-14,8.05,8.35,7.85,7.9,7.9,24001300
2018-03-15,7.85,8.15,7.75,8.15,8.15,16506600
2018-03-16,8.15,8.15,7.95,8,8,5458600
2018-03-19,8.1,8.5,7.9,7.9,7.9,42154300
2018-03-20,7.85,8.05,7.4,7.5,7.5,15395900
2018-03-21,7.5,7.65,7.1,7.35,7.35,10313300
2018-03-22,7.4,7.5,7.25,7.4,7.4,5429800
2018-03-23,7.25,7.4,7.25,7.25,7.25,3015700
2018-03-26,7.3,7.45,7.25,7.3,7.3,2337000
2018-03-27,7.35,7.55,7.35,7.4,7.4,6306600
2018-03-28,7.4,7.45,7.3,7.3,7.3,1787400
2018-03-29,7.3,7.3,6.5,6.55,6.55,13083800
2018-03-30,6.65,6.95,6.55,6.85,6.85,6810800
2018-04-02,6.95,6.95,6.7,6.7,6.7,874400
2018-04-03,6.75,6.8,6.55,6.6,6.6,741100
2018-04-04,6.55,6.7,6,6.35,6.35,2110100
2018-04-05,6.35,6.6,6.35,6.6,6.6,994600
2018-04-09,6.6,6.75,6.5,6.7,6.7,930300
2018-04-10,6.75,6.9,6.7,6.85,6.85,1100800
2018-04-11,6.85,7.15,6.85,7.15,7.15,2285100
2018-04-12,7.2,7.2,7.05,7.1,7.1,1366700
2018-04-17,7.15,7.15,7.05,7.05,7.05,223200
2018-04-18,7.05,7.15,7,7.05,7.05,353900
2018-04-19,7.1,7.1,6.5,6.65,6.65,4821900
2018-04-20,6.75,6.8,6.6,6.8,6.8,1471600
2018-04-23,6.8,6.95,6.7,6.7,6.7,842500
2018-04-24,6.7,6.75,6.6,6.6,6.6,795500
2018-04-25,6.65,6.7,6.55,6.6,6.6,497800
2018-04-26,6.65,6.8,6.6,6.65,6.65,804800
2018-04-27,6.65,6.7,6.5,6.55,6.55,664700
2018-04-30,6.35,6.45,6.35,6.4,6.4,197600
2018-05-02,6.4,6.55,6.4,6.55,6.55,267100
2018-05-03,6.55,6.55,6.45,6.55,6.55,157400
2018-05-04,6.5,6.5,6.4,6.4,6.4,466100
2018-05-07,6.4,6.6,6.4,6.5,6.5,521400
2018-05-08,6.45,6.5,6.4,6.4,6.4,210400
2018-05-09,6.45,6.45,6.35,6.35,6.35,214900
2018-05-10,6.35,6.65,6.3,6.45,6.45,1716400
2018-05-11,6.45,6.5,6.35,6.4,6.4,227400
2018-05-14,6.35,6.4,6.2,6.25,6.25,1111900
2018-05-15,6.4,6.4,6.2,6.25,6.25,437100
2018-05-16,6.2,6.25,6.15,6.15,6.15,178100
2018-05-17,6.25,6.25,6.15,6.2,6.2,224400
2018-05-18,6.15,6.2,6.05,6.15,6.15,325800
2018-05-21,6.2,6.25,6.1,6.15,6.15,314400
2018-05-22,6.1,6.1,5.95,6,6,1087800
2018-05-23,6,6.15,5.95,6,6,818100
2018-05-24,6,6,5.85,5.95,5.95,536900
2018-05-25,6,6.1,5.95,6,6,517100
2018-05-28,6.05,6.05,5.95,5.95,5.95,108900
